,reference,translation
80,"Or if it has a penis, I'll tell him not to think with it.","and if he has a pinhole, I'll tell him to think, not by him."
81,Gag me with the towel!,plug my mouth with a towel!
82,I want the guys who call the shots.,I want those guys who shot.
83,I would go mad.,I'd go crazy.
84,Young girls just ain't quite smart like their grandmothers were.,the girls aren't as skilful as their grandmothers.
85,That's why I loathed you... You're my sister.,"that's why I couldn't sleep with you, you're my sister!"
86,Drop the whole weird Swinging London thing... ...and hang out with a few normal people.,get rid of this weird swindle London and talk to some normal people.
87,"Craving someone to talk to, he grew in a fish tank... a poor migraine-ridden brain.","he yearned to talk. He grew up in a fish tank for a dewy, migraine-ridden brain."
88,"And would our intimate lunch further undermine his masculinity in terms of the fact that --- and I speak here as a collegue, who, though not a close friend, does keep his ear to the ground... and to the door. Well, as it were, you know, without obviously eavesdropping as such --- the fact that he can't remember when he last had sex.","and not celebrating our intimate dinner of his manhood...... and speaking to you as a colleague, although not as a close friend, who might be overheard, of course, without too much ado...... considering he can't remember the last time he had sex..."
89,The Mark I is now ready to fire.,Mark and he's ready to shoot.
90,You think you can take me?,you think you'll kill me?
91,Go to hell!,go somewhere!
92,Lame.He knows I hate drugs.,I thought he hated drugs.
93,What's going on here? - Shit!,what's going on here?
94,So what's the dirty little secret?,what's your dirty secret?
95,Weren't for that little Stackhouse bitch... ...there wouldn't be no vampires coming around here at all.,"if it weren't for the little cougars, there wouldn't be any vampires."
96,But if men broke into my house and offered harm to Cara or the servants I would cut them down without a moment's remorse.,"but when someone breaks into my house and wants to hurt Care or servants, I kill him without regret."
97,"I was gonna cut Monty and his crew in, but you screwed that royal.","I wanted to dedicate Monty and his crew, but you ruined the royal."
98,This house is possessed by the Devil.,this convent is possessed by the devil.
99,Then I'm gonna buy clothes and food and shoes and CDs... ...and all the rest of the shit I've been buying since you were born!,"then I'll buy clothes, food, shoes, CDs and all that stuff I've been buying since you were born!"
100,Jesus!,shit!
101,I have a feeling in my gut.,I feel it in my balls.
102,It's like a little doorway.,he's like a little cuckoo.
103,"I just got off the phone with CDC and Homeland, who were giving me a tag-team ass-chewing because you put Philadelphia on a stage 2 alert.",I just had a phone call from the CDC and the Krays who kicked my ass for you because you put Philadelphia on second level.
104,"""If you snicker any harder, you're going to get a nosebleed,"" she said tartly.","""if you laugh again, I'll hit you in the nose,"" she said sourly."
105,Who's gonna believe a bunch of coked-out strippers. Right?,"who's gonna trust a bunch of high-end strippers, right?"
106,"So, guy's old lady comes home while he's working underneath his ride, puts the pedal to the metal, and takes half his head off.","so, a guy's wife comes home while he's under the car, he's gonna hit the gas, and he's gonna cut half his head off."
107,An old crone. Weak. Withering.,decaying... weak... exhausted... dying.
108,Thirty years busting my hump.,30 years I'm risking my ass.
109,"""Damn,"" she complained without looking up.","""hell,"" she said, without raising her head."
110,"""Oh, shit.""","""oh, hell."""
111,"""Oh, damn.""","""my dear."""
112,"They were funny, smart and nice.","it's ridiculous, smart and beautiful."
113,Shot ten Undead people in the head.,he shot ten Nemtsov in the head.
114,"Oh fuck, is that all the cocaine we got?",is that all the cocaine we've got?
115,But I was damned if I was going to do that.,but I would be crazy if I did.
116,"Give us some sign that Rome will be purified, the Borgia stain will be banished forever--","give us a sign that Rome will be cleansed, the Borgia stain will be forever damned..."
117,Bet it could electrocute a dog.,I bet it would beat the dog.
118,"Oh, I'm a gym rat.",I'm a booster rat.
119,I hope you haven't inherited that old codger Yuleson's Christmas spirit.,I hope you didn't inherit that son of a bitch for Christmas.
120,I'm talking nonsense.,I say nonsense.
121,This crap hole is a monument to self-reliance.,this hole is a monument to your autonomy.
122,What the hell was a huge egg like that doing there?,what was that giant egg doing there?
123,"These programmers, there's always a tall skinny white guy, short skinny Asian guy, fat guy with a ponytail, some guy with crazy facial hair and then an East Indian guy.","these hackers, they always have a tall, poor white boy, a low-fat Asiatic, a fat man with a braided beard, a guy with a crazy beard and then a guy in eastern India."
124,Pull your bloody heart out.,let's get your heart out.
125,The woman's in trouble.,the woman has a problem.
126,He's not actually going to have sex with a 17-year-old patient.,he doesn't want to sleep with a 17-year-old patient.
127,The little man puffed out his chest.,the little man overtook his breasts.
128,"What you doing to me, man?",what the hell are you trying to do?
129,"""Then am I content to die.""","""then I will die."""
130,So be it; your journey is wasted; wake up and get yourself gone!,"once again, your journey has been useless, stand up and walk on your own!"
131,"You American dogs have 24 hours to comply and leave our country, or else....","American dogs, you have 24 hours to meet the conditions and leave the country, otherwise..."
132,"If we go, we will be buried alongside him.","if we go, we'll be burnt next to it."
133,"Just going to dialysis, schnookems.","I'm just going to go to dialysis, puss."
134,I did what you asked liar.,"I've done everything for you, you liar!"
135,"Well, my father's also convinced that i?s bunkum, but I'll prove to him it isn't!","well, my dad says it's stupid, but I'll prove it to him."
136,What goddamn language is that?,what language does it speak?
137,Shoot. I like to party with my girlfriend.,my girl and I like to party.
138,"Damn it. You mustn't be afraid to dream a little bigger, darling.","you can't be afraid to dream bigger, baby."
139,"Now, watch your step. He's a pretty good-sized ape.","and watch out, he's a pretty fat monkey."
140,Cut it off.,turn it off.
141,I knew there was no use.,I knew it would be useless.
142,"OK, seriously, you don't have to kill yourself.","seriously, you don't have to switch."
143,"What do you do in your spare time, stretch?","what are you doing in your spare time, loser?"
144,would kill me to get this book.,they'll kill me to get the book.
145,Best way to stay under the radar is to shut the shit off in plain sight.,the best way to stay off the radar is to fly directly beneath it.
146,They're shooting each other!,shoot each other.
147,Most institutions I'm afraid are run by the criminally lazy.,"in most institutions, I'm afraid they only work lazy."
148,Or I will cut its language... ... and I will give to my dogs they eat.,you want to feel her? So I'll cut your tongue out with me...... and feed him to the dogs.
149,"You don't really fucking care at all, do you?","you don't care about anything, do you?"
150,"Sinner, confess your guilt and your guilt shall be taken from you.","sinner, confess your guilt and you will be forgiven!"
151,I go past Friday and I'm buried.,"if I keep going after Friday, they'll bury me."
152,How the heck you doin'?,how the hell do you have?
153,This is fucking great. -..under John Connor.,that's really great.... according to John Connor.
154,"It can be a really well rendered animation, a short film, or any sort of horrible crap.","it may be a really well-rendered animation, a short film or just some kind of horrible nonsense."
155,"Get the hell out of my house, man.",get out of my house.
156,Hospitals... lot of good they are.,hospitals... they suck.
157,"Hey, don't cock block.","hey, that cock block."
158,"As the one challenged, I claim the first shot.",I have the right to the first shot.
159,Loser leaves Coolidge.,whoever loses leaves Coolidge.
160,What in the hell is going on in hell?!,exactly what the hell is going on?
161,I indicted this piece-of-shit case... because you swore to me we had an eyeball witness...,I took this hit-and-run case because you swore we had an eyewitness...
162,Didn't these... whatever they are... didn't they also kill their children?,"or maybe... whatever they are, they didn't kill their kids too?"
163,We'll fire on the count to 3.,we'll start shooting till I count to three.
164,Perhaps he's not such an old fool after all.,maybe he's not crazy after all.
165,"Then why did the sex always end with you yelling,",then why did the sex always end with your cry?
166,One of the stupidest things I've ever done.,one of the biggest blunders I've ever done.
167,"Right. Now say ""I, Susan, am a whiny fucking bitch ""and you, Frankie, have it under control.""","all right, now tell me...... I, Susan, I'm a whopping cow, and you and Frankie have it all under control."
168,We saved the marsh Fuck him!,we saved the swamp.
169,And a lunatic.,and crazy.
170,"That's suicide, Mister Woods.","it's a suicide, Mr. Woods."
171,That you won't stop talking.,that you don't shut up.
172,"I know, but, like, lying to her Just seems cowardly and selfish.","I know, but lying to me seems cowardly and selfish."
173,"Why I and my friend and partner, whose body is going into a furnace tomorrow, were never fucking contacted.","why didn't anyone inform me...... and my partner, who's going to be buried tomorrow?"
174,No small trick for a black man.,it was something for a black man.
175,The one where you admitted to stabbing me in the back by sleeping with Karl.,the one you stabbed me in the back when you slept with Charles.
176,"Then, when she started crying it all ran down her face, it was like breaking up with The Joker.","and then as she started crying, she was all over her face, it was like a breakup with a clown,"
177,"We got to take them all out,and that means sammy,too.","we have to eliminate them all, and that means Sammy."
178,"That's the only way we survive. Uh, you mind telling us who the hell you are?","well, wouldn't you like to tell us who you are?"
179,Murf! Crap!,"oh, my God!"
180,Is it enough of a sad tragedy that you can join the rest of the douche bags?,is it a sad enough tragedy to add to the rest of the idiots?
181,Shut it off!.,turn it off!
182,"A Hindu suicide bomber, that is more of a threat.","but the Hindu Bomb attackers, that is a more serious problem."
183,You will shut your mouth and you will do as you're told.,you will be quiet and you will do as I say.
184,He went for her neck.,he snatched at her throat.
185,Good customers.,they're dorky customers.
186,"But the fact is, we're just a bunch of primates out of control.",the reality is that we're just a bunch of monkeys out of control.
187,You've changed from the nicest man in England into the horridest man in the world.,you have changed from the loveliest man in England to the most formidable man in the world.
188,"Look, lady, I know you're terminating your husband.",I know you're killing your husband.
189,"Be quiet, you.","shut up, you..."
190,"Sooner or later, that's almost certain to get him shot.","sooner or later, it will almost certainly bring him before the firing squad."
191,"He carries a gun with 8 bullets, and tries to rob the bus. . . but sees a horrifying phantom and starts to fire at it.","he's carrying a gun with eight bullets, and he'll try to carry the bus... but he'll see a terrible phantom and start shooting at him."
192,Tell them we'il come back and pick them up once we dump the scum bags.,take the radio and tell them we'll come back for them as soon as we get the bottom.
193,"But knowing that—of course I have to go with you into Ra-hjemur and above all I will not put this blade into your loyal hands, bastard brother.","but as it is, I will go with you personally to Ra-hjemur, and I will not lend your loyalty to Ra-hjemur and I will not lend my sword to your loyal hands, little brother."
194,I don't knowwhat the fuck is going on anymore.,I don't know what the hell is going on.
195,"It's my first day of work, and I'm running late. Oh, shit.","first day at work, and I'm already late."
196,A sex thing.,it was sex.
197,Don't be absurd.,don't be ridiculous.
198,I became Night Bitch after my sister was murdered and found in a dumpster. Holy shit.,I became a Night Fury when they killed my sister and threw her in the container.
199,Don't let the bastards get you down.,don't let the dogs get you.
200,"""Get the hell out of here,"" Guarnere shouted.","damn, we're getting out of here, ""Guarnere shouted."
201,You once banged a blind girl by pretending to be Sean Connery.,you once fucked a blind girl when you pretended to be Sean Connery.
202,"I knew you'd fucking puss out, man.","I knew you backed out, man."
203,"How the fuck old are you, sergeant?","how old are you, Sergeant?"
204,"Hey come on, youwere sick.","hey, come on, you were sick."
205,"You know, prednisone's pretty toxic stuff.","you know, Predniz is pretty toxic."
206,Get your knuckles And rub them as hard as you can on his chest.,"rub your knuckles on the sternum, as hard as you can."
207,What in God's name are you talking about?,what the hell are you talking about?
208,I went back around the end of the bar and across the room to the gaping door behind the crap table.,I circled the counter and moved across the room to the open door behind the table.
209,"Hey, weirdo, do you live here?","you, fool, are you living here?"
210,She is a false goddess and now Autloc has proclaimed it.,"it's a fake goddess, and Autloc himself has declared it."
211,You're going to shut up?,will you be quiet?
212,"He was damned for that, but not in Hell.","he was cursed, but he's not in Hell."
213,If you dressed like me and shaved your hair off.,if you dress like me and shave your head.
214,My God. .,"oh, shit."
215,I will kill! in the White House!,in the White House!
216,I've gotta get to the paper.,"shit, I gotta go to the paper."
217,It'd be a damn shame if you had to drop out with a ruined knee.,it would be bad luck if you had to withdraw because of a broken knee.
218,"Just saying I checked the usual spots 'cause I wanted to say goodbye before I left camp, so in case you go ahead and fucking die--","I went through familiar places because I wanted to say good-bye before I leave camp, so if you finally died..."
219,"Yeah, you'd be ripped apart.","yeah, those vultures would've torn you apart."
220,I took care of that jerkoff - that was in front of your house.,I took care of the nut that oxidized in front of your house.
221,You're saying we kill the Master and that's somehow - gonna stop this plague?,are you saying the killing of the Lord will somehow stop the plague?
222,Don't be such a worrywart.,don't be such a coward.
223,"You can go hard-core with Mr. Corman, slap a restraining order on him and switch him to another doctor...","you can hit Mr. Korman hard, get a warrant and throw him to another doctor."
224,He's going to fuck with everyone if we give him enough time!,he'll do it with everyone if we give him enough time!
225,"When Ame wouldn't suck on his own, she learned to feed him with cotton pads dipped in breast milk. ""Living with Wolves""","when we didn't want to drink from the breast, she had to dip a tin of cotton in the milk and let us suck it out of him."
226,"""There, now you look as awful as they do.""","""now you look as ugly as they are."""
227,"Yeah, I'm saying she's a lusty, bawdy, self-aware woman.","yes, I'm saying she's a sensual, filthy woman unwittingly self-conscious."
228,What gender do you want?,what kind of sex do you want?
229,All the fucking time.,just all the time.
230,"I-- God, I guarantee you, you bring 100,000 black people into your neighborhood, and they're asking every white person, ""You got any drugs?","oh, God, I guarantee you, if you took 100,000 in your neighborhood, they'd ask every white person, ""Do you have any drugs?"""
231,"What, are you high on crack to be arguing with him?.","what, are you fucking with him?"
232,"Do you have any idea how much longer those years feel when I'm watching you stumble through your doomed relationship and your obsession with oral hygiene, day in and day out?","do you have any idea how much longer those years look when I'm watching you reeling your damn relationship and your obsession with oral hygiene, day by day?"
233,Jesus said the darndest thing.,Jesus said the worst thing.
234,Filipinos working abroad—because the economy of the Philippines is so lame.,"Filipinos, what they work overseas - because the Philippine economy is so swollen."
235,"I put in the hard work, and did all the shit, and... I beat this Russian. And I earned my spot.","I worked, I did everything I needed to, I beat one Russian and earned a new job."
236,What are you doing here?,what the fuck are you doing here?
237,Sometimes you got to do certain shit....,sometimes you have to do something wrong.
238,"And be arrested, or else...!","then I'll arrest you, or...!"
239,"""Damn straight.""","""truth rightwing."""
240,Orin the crone! - Orin the crone!,old hag of a Tory pail.
241,"Oh, the clothes. Um...","shit, clothes."
242,Do you realise that you haven't even come close - to giving me a goddamn apology?,do you realise you didn't even bother to apologize to me?
243,Now the world's watching a circus. Waiting to kill each other.,the world is witnessing a circus in which people will murder each other.
244,"Your stench, however, is revolting.","your scent, by contrast, is reputed."
245,Why don't you all put your fucking guns down?,why don't you all put the guns down?
246,You mark my words. - Keep it in that condition-- - Get off my back!,you mark my words. -keep your conditions-- - Get on my back!
247,I'd like to kill him... his mistress... myself.,even his mistress...... and himself...
248,"No, of course not, but he thinks there was, so he started drinking again, he beat up Adriana and he threw her out of the fucking house.","no, but he's thinking, he started drinking, he beat Adrian and threw her out of the house."
249,"Pulling back, I reached for his cock with both hands, gripping him firmly.","I moved away, reaching out with both hands and grabbing him."
250,"Andy, you bastard. You were like a son to me but now you're going to jail with me.","dude, you've always been like my son, but I'm gonna take you to jail."
251,Then some slime sap and his droid charge in and force me to give up the skinny on where Ziro's headed.,then some kind of slimy fool and his droid come in here and force me to point out where Ziro's headed.
252,"In fact, I was partying with the Dominican sand team down in Cabo a few years ago, and we were just completely out of our minds on mescaline, and these two little nymphos walked by and they were like, ""Show us your cocks!"" You know.","that's what I did for a couple of years ago in Cabo with a team of volleyball-playing whistleblowers from the Dominican Republic. We were total cars of mescalines, and then there were these two cunts, and they said, ""Show us the birds!"""
253,"Let me tell you something about Tim, that look that you're talking about, he's had that sily look his whole life long, ever since he's a little kid, he's been using that look.","I'll tell you something about Timo, about his point of view of what you've been talking about. His whole life has looked so stupid, even though he was a little boy, he used that look."
254,"I would have figured she'd have cut you off at the knees for even daring to talk to her.""","I'd think it would cut your throat when you dare to talk to her. """
255,"Wow, this blows.","wow, that sucks."
256,I think the most appropriate way to honor your memory today... is to get blasted and watch the Vikings make the Bears their furry little bitches.,"I think the best way to honor your memory today... is to get drunk and watch the Vikings fiddle with the furry medics,"
257,I heard Chief HONG wants to kill General KOO.,I heard Commander Hong wants General Koo's death.
258,"God, I think I need some professional help.","shit, I need some professional help."
259,"Get out of the damned lift, Yuri!","Yuri, get the hell out of the elevator!"
260,Huh? I've sat in millions of bedrooms and listened to millions of boys tell me they're leaving me for the pole.,"in millions of bedrooms, I heard millions of guys leaving me for a dick."
261,I want to meet this guy who's the best sex she ever had.,I want to meet a guy who's best in bed.
262,"Took patrol all damn day, but they finally found it.","it took them all day, but the patrol found the car eventually."
263,Girls like that are nothing but trouble.,there's only a problem with girls like that.
264,And I'm saving mine up for all the good shit that's coming my way.,and I'm saving mine for all the good stuff that's waiting for me.
265,"""What if one of these Muslims is taken alive and made to talk?""","""what if a Muslim gets caught alive and makes him talk?"""
266,You go home. Kiss your wife. Eat your baby's Fruit Loops and shit.,"you can go home, kiss your wife, eat the baby risotto and everything."
267,Get back at you by killing your son?,to avenge your son's murder?
268,"Fuck you, why didn't you ask me?",why didn't you tell me?
269,The man is fatally ill.,this guy is really sick.
270,"Also, you've been talking like a jealous woman.",you act like a jealous woman.
271,They will torture us for three days.,we'll be tortured for three days.
272,Suppose I shot you?,what if I shot you?
273,A dead man!,you're dead!
274,How- How the hell do you get over there?,how the hell do I get in there?
275,"Listen, you sleazebag.","listen, dirtier."
276,"“You can sit here until you starve, Captain.","""you can stick around here until you starve to death, Captain."
277,"I still love you, and I still want to have sex with you.",I still love you and I still want to sleep with you.
278,Marla twists and says the police are speeding over here to hook me up to the electric chair and bake my eyes out or at least give me a lethal injection.,"Marla squirts and says the cops come here to put me on an electric chair and keep my eyes out of my eyes, or at least gave me a lethal injection."
279,"That scared the fool outta me, yeah.",that scared me to death.
280,"No, no, no. Liar.","no, no, no."
281,Had you not distracted the monster so Martin could slay it - ',"if you hadn't tempted the monster so that Martin could kill her... """
282,"Oh, my God, you're so naughty.","oh my God, you're so dirty."
283,"Leave a message, hooker.","leave me a message, man."
284,"If they want to get rid of me, they'll have to-- ...assassinate me!","if they want to get rid of me, they have to... assassinate me!"
285,"I hope you and Ding Dong enjoy playing grab-ass, 'cause I got a bag full of misery, for ya. What is it?","I hope you and Ding Dongs enjoy your flailing, 'cause I got a full bag of bad luck for you."
286,"You are playing with fire, dragging them into this nonsense.",you play with fire when you bring them into it.
287,"Now, he's a dead man walking.",he's a walking corpse.
288,"But no matter 'ow into 'is music you is, you should never actually try and bum 'im.","but no matter how deep your music is, you should never try to fuck him."
289,"If you don't want my help, just get your ass back in that district and hash it out with Sergeant Platt.","if you don't want my help, go back to the precinct and get that with Sergeant Platt."
290,And fat ones.,and you're fat.
291,"And I don't mindtelling you, nigger, it's steady work.","and I don't have to tell you, dude, it's a stable job."
292,'Cause I'm a fool.,then I'm crazy.
293,"Maybe you'll throw your dress over your head, cry like a baby, run into the wall.","maybe you throw your jersey over my head, you cry like a kid, you hit the wall."
294,It's a Dick or a Vandyke.,it's Dick or Vandyquet.
295,There's lots more I'd like to know about you Harry Tristan Dean but if you insist on this ridiculous crime spree what's the point? Excuse me.,"I'd like to know more about who Harry Tristan Dean is, but if he insists on the ridiculous criminal record, I'm not interested."
296,"We're talking bloodthirsty, awful beasts.","this is disgusting! We're talking terrible, bloodthirsty beasts."
297,"Now damn it, boy... go get the meat!","now, boy, come get your meat!"
298,"Mantis, I paralyzed you! I'm so sorry.","Kudlanko, I paralysed you!"
299,"None of us understood the man's full power, and he was obviously mad.","none of us understood the full extent of the man's power, and he was clearly insane."
300,Ugly. I hate it.,I hate it.
301,'They set fire to people!' said Nanny.,'Burning people! 'Said Nanny.
302,Fish stealer!,fish thief!
303,I don't fucking know!,I don't know!
304,"Abu nassim, the old warhorse.","Abu Nassim, an old developing dog."
305,"Don't you listen to those whiners, Sherlock.","don't listen to the posters, Sherlock."
306,"I attended that party only as a favour to a dear friend, and I can swear that I never met that horse before in my life.",I only went to that party for one friend and I never saw the hookers before.
307,He's mad!,he's crazy!
308,No loss of money and no hurt pride would be worth killing someone over.,no loss of money or wounded pride would be worth killing.
309,"Plus a good start-you won't believe this, Jock, but Boss has the dirtiest mind.","plus that she had a good start - you're not going to believe me, Jock, but the boss has the most oppressive ideas."
310,Screw the CBl.,fuck the CBL.
311,It's just sometimes this bloody thing...,it's just that sometimes this damn thing...
312,Get out of here. I don't want anything to do with that man after what he did.,I don't want nothing to do with him after what he did.
313,"Focus on the wrong thing, you get killed.","when you focus on the wrong thing, they kill you."
314,I'm really sorry about your brother... ...but he was like a mad dog running wild.,"I'm sorry about your brother, but he was like a dog out of rehab."
315,That creep who was stalking me.,the pervert who followed me.
316,He is the worst one that comes here.,that's the worst thing that comes in here.
317,Let the old man beat you because he's sad and he has his load on.,let the old man turn you down because he's sad... and he's drunk.
318,"If I listen to it, I'm dead.","if I listen to him, I'll die."
319,Halt or we'll fire!,stop or I'll shoot!
320,"If this doesn't work out for you, you fuck off back to your studio pals... ...and dive back into that cultural genocide you guys perpetrate.","if you don't, you go back to your friends in the studio and you'll have it for the cultural genocide that you've become a victim of."
321,A thief.,a thief?
322,He's been in and out of jail his whole life.,he spent most of his life in prison. He's a criminal.
323,All you brought was that useless ornate shield!,"and you only brought the ornate shield, which is useless!"
324,"'Course, we're probably gonna lose all that... if her ridiculous idea for Sea Britain goes through.",but it probably will all come about if she doesn't leave her absurd idea of creating an 'island' Britain.
325,"Rats do not got bling like this, lady.","rats don't have such a beautiful tail, lady."
326,"I'm fucking ashamed, dawg.","I'm ashamed of us, mate."
327,"(sighs) HOLLY: Watch out, girls, don't step in any cow Pis.","watch out, girls, so you don't step in the cow shit."
328,"For you, I'll cut it off.",I'll leave a few for you.
329,"It's his job, he's a policeman, like it's our job to kill people.","it's his job, he's a cop, just like our work was murder."
330,"This is our last box too, sergeant. fuck!","this is our last box, too, Sergeant."
331,I'm gonna scrub this virus from the face of the Earth.,I'm going to have this virus removed from the planet's surface.
332,You stop talking filth about my family or I'll stop you talking.,"stop talking about my family like dirt, or I'll make you stop."
333,No. I'm a babbling idiot.,"no, I'm just talking gibberish."
334,And his supposedly psychic friend.,"and his crazy friend ""media."""
335,Cause crybaby hit on seventeen again.,because the wind shot seventeen again.
